,Confirm Lightswitch down status,,#REF!,,,Check status has switched to DOWN - https://adminportal-website-management.ol.epicgames.net/lightswitch2/schedule/fortnitelivecn?server=Lightswitch&moduleName=lightswitch,,
,Lightswitch down notifications,,#REF!,,,Post message in fn-release-deploy and Mission Control slack channels,,
,We Games access disabled,,#REF!,,,"Notify ext-fncn-live to disable access for we games. 
More often than not this is Sula, but confirm it isn't a different Tencent employee",,
,"Deploy ""Go Live"" INI Hotfix config (make sure this is done before server deploy to ensure hotfix config is pulled correctly)",,#REF!,,,"Can move on to MCP and Client deploys until Hotfix is done.
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy internal",,
,Deploy MCP ,,#REF!,,,"Deploy %: 50%
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy internal",,
,Deploy MMS,,#REF!,,,"Done by MMS team after matcmaking is disabled - confirm with them during release sync if a deployment is being done. 
Loop them in when light switch down",,
,PC Client Deploy - Use Promotion Job (Client),,#REF!,,,"Whole build string, LiveCN, only Windows.
Allow Live Promotions and BPT checked
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy Public",,
,"Server Deploy

",,#REF!,,"Make sure Hotfix is underway before Deploying Server. Otherwise servers won't get new hotfixes for possibly 4 hours. 
","Start immediately after hotfix deploy, due to server prep time, hotfixes should be live just prior to sessions starting
Fleet: LiveCN
Cohort: Main
Use fast deploy option for downtime releases.
Notify fn-release-deploy and Mission Control slack channels
Use FN-Deploy internal",,
,,,,,,,,
,Item,Status,Due by,Done by,Temp-Notes, Perma-Notes,,
,Nvidia: reply to already existing corresponding release thread in #ue-partner-nvidia-ext with courtesy status updates,,7/21/2025,,,"Usually Douglas Valkenaar, Alexander Gustev or Andrew Saritsky - #external-nvidia channel",,
,StW Whiteglove,,#REF!,,,Poke ext-fccn-live with @s to start whiteglove,,
,BR Whiteglove,,#REF!,,,Whiteglove is completed by both Epic CN and Tencent teams separately - need confirmation from both teams of a successful check.,,
,If help is needed flushing buckets,,#REF!,,"Click ""Direct control panel link"" in next link",https://adminportal-website-management.ol.epicgames.net/fortnite/profileProxy?server=Fortnite%20China&moduleName=fortnite,,
,Re-enable Light Switch Up,,#REF!,,,"Ready once the whiteglove has been confirmed and without any issues
Update status message to Fortnite is up!
Notify Sula - Access has been re-enabled. @Sula Yu please re-enable from wegames side as well
Notify in Mission Control and FN-Release-Deploy - No whiteglove callout and lightswitch up",,
,Re-enable CN alerts,,#REF!,,,"Unpause FN Grafana integration in OpsGenie
https://epicgames.app.opsgenie.com/teams/dashboard/76f730d9-7346-4f83-b599-ab3589ba2fce/integrations",,
,Post in #buildfarm-support to remove the previous release version,,#REF!,,,Reach out to Build Farm Support via #buildfarm-support channel in slack and ask them to remove the previous branch from horde after CN deploy is complete,,
,Archive previous release Slack channel,,#REF!,,,,,
